name,lat,long
Singapore International School Kelapa Gading,-6.149243020879371,106.91647750305091
SDIT Al Huda Kelapa Gading,-6.171426681092387,106.91084783665464
Yayasan Nur Attaqwa,-6.150265346702105,106.91666510306199
SD Negeri 07 Lagoa,-6.111217468325857,106.90883322736455
"sma tunas karya,kelapa gading",-6.160950949104497,106.90373762228262
SDN Semper Barat 01 Pg dan SDN 02 Pt,-6.124982072949215,106.92131981256898
SDN Semper Barat 05 Pg dan SDN Semper Barat 06 Pt,-6.115768224580316,106.92280106879112
SMA Negeri 52 Jakarta,-6.12212646654282,106.92390929401137
SD Muhammadiyah 49,-6.163142754739926,106.85648776114397
SMP-SMA Al-Muddatsiriyah,-6.162428165987804,106.85823808087014
"SD Negeri Paseban 01, 02, dan 03",-6.189152710483099,106.8525430521515
SD Negeri Paseban 05,-6.189384097912941,106.85267117197199
SD Negeri Paseban 09/10-11,-6.193825210959718,106.85515836939871
SD Negeri Paseban 07,-6.193460597508036,106.85517170490324
SD Al Hidayah,-6.156980982535998,106.82860670360267
SD Islam Muhamadiyah,-6.157559249533818,106.8298706610812
SD Negeri 01/02,-6.1949036985536985,106.84019774456813
SD Usaha Kemajuan,-6.145325247064993,106.8348803967976
SMK Strada,-6.146400750000009,106.8391155
Muhammadiyah Kemayoran I,-6.161982450000001,106.8428389
SD Negeri Gunung Sahari Selatan 01/02,-6.166225020794229,106.84148115441037
SMP Negeri 93 Jakarta,-6.167127270123191,106.8397061407159
"SD Negeri Kebon Melati 01, 02, dan 03 Pagi",-6.1929005841995295,106.8135663470631
SMP 1945,-6.1985869,106.81325125000001
"Yayasan Muhammadiyah Tanah Abang I (MDM, SDM56, SLTPM6, SMKM 2)",-6.1969790644160545,106.81478427185893
SD Negeri Pasar Baru 11,-6.162711771280589,106.83460955741832
SD Muhammadiyah 21,-6.151554814684723,106.83753027482162
SD Negeri 01 dan 03 Bungur,-6.170816589111703,106.85060902722755
SMP - SMA Muhammadiyah,-6.169891150860379,106.84636310699763
SD Negeri 01 02 Kebon Kelapa,-6.16496966443542,106.82203010676282
SD Negeri Johar Baru 29,-6.185345776711865,106.85661132429026
SMU YP Pancasila,-6.1948057,106.8427628
SD Negeri 01/03,-6.183409184148372,106.83039336191969
SMP Negeri 18 Jakarta,-6.18503417940193,106.83391139137451
Sekolah & Gereja Advent 3,-6.195508096147782,106.83625297600524
SMP Negeri 118 Jakarta,-6.190290516150751,106.87009673208739
