name,lat,long
Cut Meutia,-6.1875156,106.8329371
Balai Kartini,-6.2347131,106.8246214
Kedubes Malaysia,-6.2237786,106.832585
Teuku Cik Ditiro,-6.2002822,106.8373854
Karet Kuningan 2,-6.2173406,106.8306983
Taman Menteng,-6.1959505,106.8288633
Theresia,-6.1912756,106.8293476
Yayasan Kanker Indonesia,-6.1912333,106.8296066
Bapindo Menteng,-6.1870893,106.8356078
PD Pal Jaya,-6.2047861,106.8302725
Halimun 4,-6.2052445,106.8333798
Kemenkes 1,-6.2306593,106.8328359
GOR Sumantri 2,-6.2210606,106.831872
BNI Syariah,-6.2272208,106.8329263
Menara Duta,-6.2086708,106.8298562
Kuningan Madya 2,-6.2134246,106.8303188
Flyover Setiabudi,-6.2020958,106.8281379
Menteng 2,-6.1987159,106.8284936
Setiabudi Utara,-6.2073422,106.8293064
Menteng 1,-6.1985067,106.8283436
Pasar Mede,-6.2866952,106.7955553
Simpang Fatmawati,-6.2912713,106.7953468
Jalan Banjarsari 2,-6.291183,106.7951144
Rumah Sakit Setia Mitra 2,-6.2813846,106.7961596
Rumah Sakit Setia Mitra 1,-6.2812435,106.7964001
Jalan Cilandak V,-6.2872907,106.795593
Golden Fatmawati,-6.2766723,106.7976225
Seberang Golden Fatmawati,-6.2768854,106.7978265
Jalan Mangga,-6.2705543,106.7973504
Gang Haji Ayub,-6.2708254,106.7976001
Seberang ITC Fatmawati,-6.2635572,106.7969681
ITC Fatmawati,-6.2635122,106.7972021
Jalan Bulungan 2,-6.2397932,106.7963693
Haji Nawi Jalan Timbul,-6.2682635,106.7974412
Jalan Kapuas Cideng Barat,-6.1751807,106.8116478
Stasiun Grogol,-6.1617846,106.7899347
Jalan Batang Hari Cideng Barat,-6.1736009,106.8112887
Universitas Trisakti 2,-6.1668879,106.7909936
Jembatan Tiga 1,-6.1339479,106.7929294
Tanah Pasir,-6.1304816,106.7926502
Penjaringan 2,-6.1275528,106.7923591
Pluit 1,-6.1156413,106.7908288
SPBG Jakpro,-6.1177838,106.7918669
Ruko Cordoba 1,-6.1124161,106.7435377
Pasar Poncol,-6.1749222,106.845592
Dittopad,-6.1747413,106.8482276
Honda Letjen Suprapto,-6.1749583,106.8494787
Jalan Kwitang Timur,-6.1738239,106.8518416
Indosiar,-6.1090992,106.7970363
Telkom Tj. Priok,-6.11025,106.8842
Sbr. SMKN 12,-6.115799,106.88564
Sbr. Telkom Tj. Priok,-6.1104741,106.8841313
Term. Tj. Priok 2,-6.109718,106.8834
Rumah Sakit Pusat Pertamina 3,-6.2397988,106.7943876
Pom Bensin,-6.2328533,106.7986267
Stella Maris 2,-6.1123088,106.792381
Stella Maris 1,-6.1121017,106.7927989
Stasiun Universitas Pancasila,-6.3392369,106.8339314
Jalan Teratai Putih I,-6.2174419,106.9295981
Halte Bus FWD,-6.2276226,106.8079468
Halte BEI,-6.2243967,106.8089922
Halte Artha Graha,-6.2242451,106.8106769
Jalan Kelapa Dua,-6.2165203,106.7699425
Jalan Sukabumi Selatan,-6.2167242,106.769352
Pancoran Tugu Arah Barat,-6.2434995,106.8438258
YTKI,-6.2350953,106.8241556
Jamsostek,-6.2339003,106.8223376
Kantor Taman A9,-6.232351,106.8295236
RS Islam Pondok Kopi,-6.2202543,106.9403887
Stasiun Kalibata,-6.2552255,106.8548663
Plaza Festival,-6.2201952,106.8332719
Sagu Atas,-6.3172511,106.8176769
Sagu Jagakarsa,-6.3171798,106.8177444
Andara Raya,-6.3145188,106.8037006
Paso TK Rahmania,-6.3162137,106.8164272
Paso Raya,-6.31592,106.8127363
Gang Harapan I Jagakarsa,-6.3134233,106.8126985
Komplek Bukit Indah,-6.3107524,106.8106601
TK Rahmania,-6.3159668,106.8164812
Pertigaan Kampung Kandang,-6.3108193,106.8130924
Pertigaan Paso Kav.Polri,-6.3160385,106.8160658
Sekolah Cita Buana,-6.3162209,106.8142725
Kahfi Raya,-6.3117203,106.8131638
Komplek Bukit Indah,-6.3108884,106.8107584
Damai Musyawarah,-6.3106295,106.8057106
Pintu Barat Ragunan,-6.3108435,106.8162488
Gang Haji Manin,-6.3105473,106.8057308
Puri Margasatwa,-6.3116427,106.8089142
Pringondani,-6.3108141,106.8068971
Seberang Pringondani,-6.3106796,106.8068231
Seberang Puri Margasatwa,-6.3114409,106.80882
Wisma Semar,-6.310541,106.8057673
Taman Pattimura,-6.232844,106.8007828
Pepaya 5,-6.3206391,106.8184651
Pertigaan Kebagusan Kelapa Hijau,-6.3264054,106.8237262
Pertigaan Kelapa Hijau Kebagusan,-6.3263967,106.8238221
Puskesmas Pasar Minggu,-6.320954,106.8253169
Taman Spatudhea,-6.3228581,106.8243713
Taman Spatodhea,-6.3230579,106.8244616
Kecapi Jagakarsa,-6.3265661,106.822274
Perempatan Kelurahan Lama,-6.3266247,106.820721
Pertigaan Sagu Pepaya,-6.3176934,106.8191221
Puskesmas Pasar Minggu,-6.3206369,106.8254362
Pertigaan Kebagusan Jagakarsa,-6.3270278,106.8240731
Masjid Jami Al Wiqoyah,-6.3268196,106.8235381
Kelurahan Baru Jagakarsa,-6.3267384,106.8226872
Koperasi,-6.2860092,106.8307272
Masjid Jami Al Nurul Huda,-6.3142317,106.8253551
SD Kebagusan 01,-6.305343,106.8274426
Karang Pola,-6.2861751,106.8314685
Pintu Timur Ragunan,-6.3121488,106.8256537
SD Kebagusan 01,-6.3052228,106.8272983
Kebagusan III,-6.3090808,106.826997
Halte Wisma Gapensi,-6.2861664,106.8299646
Gang Puskesmas Kebagusan Raya,-6.296628,106.8273311
SD Pelita Pagi Jatipadang,-6.2866336,106.8292914
Gang Haji Ja'anih,-6.289353,106.8290695
Jatipadang V,-6.2927652,106.8287587
18 Office,-6.2991474,106.8320766
Gang Salihan,-6.2963512,106.8283118
Halte Jalan Mujaer Raya,-6.299453,106.8335332
SD Yayasan Islam Al Azhar Syuhada,-6.3265337,106.8207495
Pertigaan Sagu Pepaya Raya,-6.3174643,106.8190935
Seberang SMPN 166,-6.32352,106.8193126
SMAN 49,-6.3247614,106.8198821
SMAN 49,-6.3247361,106.8198242
SMPN 166,-6.3232887,106.8192067
Alfamidi Pepaya,-6.3217559,106.8185279
Gang Puskesmas Kelurahan Kebagusan,-6.2965968,106.8270212
Puri Botanical,-6.2164397,106.73756
Puri Botanical Residence,-6.2165256,106.7374402
Komplek KPAD,-6.2155343,106.7271241
Komplek Unilever,-6.2154607,106.7273589
Puri Botanical Residence,-6.2165283,106.7374506
Puri Botanical Residence,-6.2164099,106.7375558
SMKN 57,-6.291477,106.8235479
Pepaya VI,-6.3204217,106.8185188
Pintu Timur Ragunan,-6.3124332,106.8257047
SMPN 175,-6.3194956,106.8251141
Pertigaan Kelapa Peon,-6.3178095,106.8248828
SMPN 175,-6.3194163,106.8251947
Pertigaan Sagu Kebagusan,-6.3175531,106.8248278
KUA Pasar Minggu,-6.3000585,106.8262232
KUA Pasar Minggu,-6.2999703,106.8263306
Gang Haji Bontong,-6.3279879,106.8242815
Pom Bensin Jagakarsa,-6.329123,106.825093
Kebagusan IV,-6.3150083,106.8253254
Sekolah Avicenna,-6.3360827,106.8295315
SDI Al Azhar Jagakarsa,-6.3300107,106.8262246
Desa Putra,-6.3391225,106.8284873
Gang Haji Bontong,-6.3280955,106.8242316
Pom Bensin Jagakarsa,-6.329294,106.8252862
SDI Al Azhar Jagakarsa,-6.3300654,106.8261438
Pertigaan Moh.Kahfi Jeruk,-6.3357647,106.8269882
STIKES Bhakti Pertiwi Indonesia,-6.3303768,106.8271354
Masjid Al Birru,-6.3366256,106.8304138
STIKES Bhakti Pertiwi Indonesia,-6.3303294,106.8273007
Pertigaan Jagakarsa Jeruk,-6.3309306,106.8292358
Sekolah Perguruan Rakyat 1,-6.3446602,106.8262122
Seberang SMAN 38,-6.3358861,106.834789
Seberang TK Kartika VIII - 13,-6.3452761,106.8274004
Universitas Pancasila,-6.3421821,106.8333149
Pertigaan Jagakarsa Kelapa Tiga,-6.3309043,106.828909
Jalan Cempaka Srengseng Sawah,-6.3446024,106.828222
Stasiun Lenteng Agung 2,-6.3314186,106.8346996
Pusdiklat BPS,-6.3311739,106.8314827
SDN Srengseng Sawah 07,-6.3451062,106.8309779
Pasar Jaya Lenteng Agung,-6.331065,106.8330619
Jagakarsa Stasiun Lenteng Agung,-6.3323724,106.8350503
Pusdiklat BPS,-6.3310992,106.831384
Taman Stasiun Kalibata,-6.2543426,106.8553041
TK Kartika,-6.2512876,106.8557647
SMP 154,-6.2504886,106.8544875
Lapangan Sepakbola Komplek Polri,-6.2483746,106.8579071
Cikoko Timur 1,-6.2443911,106.8586299
Stasiun Cawang,-6.2427216,106.8585424
Pasar Kaget Pengadegan,-6.2504764,106.8565149
Klinik Kartika,-6.251283,106.8551397
Cikoko Timur 1,-6.2441931,106.8585414
Lapangan Sepakbola Komplek Polri,-6.2485513,106.8579169
Pengadegan Utara,-6.2462124,106.8586456
SMP 154,-6.2505854,106.8545645
Pengadegan Utara,-6.2467933,106.8584707
Kavling Polri Blok E Jagakarsa,-6.3143525,106.8163642
Kavling Polri Blok H Jagakarsa,-6.312285,106.8162845
SMK Al Hidayah 1,-6.3082827,106.8137346
SPBU Cilandak KKO,-6.2957787,106.8155183
Seberang SMK Al Hidayah 1,-6.3081671,106.8138891
SDN Cilandak Timur 01,-6.3063247,106.8138892
Seberang RS Marinir Cilandak,-6.3056797,106.8140577
Jalan Kampung Utan Cilandak KKO,-6.3019455,106.8144007
Gang Cemara Cilandak KKO,-6.2994034,106.8147868
Seberang SPBU Cilandak KKO,-6.2958714,106.8156499
Universitas Tarumanagara Cilandak KKO,-6.2935198,106.8163291
Seberang Gang Cemara Cilandak KKO,-6.2994873,106.8146202
Seberang Pintu Ragunan Barat,-6.3102687,106.8159194
Gang Borobudur Ragunan,-6.3067611,106.8167749
Gang Tamansari Ragunan,-6.3054483,106.8161303
Ragunan 2,-6.3052474,106.8185597
Rumah Sakit Zahirah,-6.3354134,106.8237595
Seberang Gang Borobudur Ragunan,-6.306804,106.8168858
Jalan Saco Ragunan,-6.305372,106.8190972
Gang Musholla Ragunan,-6.3082572,106.8158531
Kantor Kecamatan Jagakarsa,-6.3345002,106.8213798
Seberang Gang Tamansari Ragunan,-6.305545,106.8162058
Ragunan 1,-6.3052993,106.8183151
Seberang Gang Musholla Ragunan,-6.3082214,106.8159266
Gang Mangga,-6.3351596,106.8231694
Kantor Kecamatan Jagakarsa,-6.3345807,106.8214695
